;name;retentionRate;fullStreams;consistency;amortisedConsistency;mean;score
0;&burn (with Vince Staples) (Billie Eilish);1.0;7;0.009036144578313253;0.01875;0.021021021021021023;1.5537908418682028e-06
1;'Till I Collapse (Eminem);0.8011052679888689;11;0.030120481927710843;0.04405286343612335;0.036085822882381484;5.35967113291501e-05
2;(Przerywnik) (Taco Hemingway);1.0434054335478984;16;0.02710843373493976;0.28125;0.05013359440470383;0.0008061056679131313
3;.38 Special (Shakewell);0.9480242729040953;28;0.06626506024096386;0.17054263565891473;0.09110143163042357;0.0056880278094515145
4;0 Słów (Otsochodzi);0.9902493271487314;125;0.20783132530120482;0.32701421800947866;0.3776626562999666;1.0639955122845208
5;012 (Jan-Rapowanie);0.9607285044064573;18;0.03614457831325301;0.08275862068965517;0.05481634109226033;0.00042056046857751685
6;05:05 (Bedoes);0.9555133117511193;74;0.1355421686746988;0.22388059701492538;0.23242215691243442;0.1339705324575851
7;0:59 (Danger);0.9312420200750359;6;0.015060240963855422;0.054945054945054944;0.01957565807965541;9.072500849613267e-06
8;100 dni do matury (Mata);0.8780890913260189;62;0.060240963855421686;0.19801980198019803;0.20567852589618466;0.01557958103740739
9;100 kmh (Taco Hemingway);1.0;19;0.03614457831325301;0.375;0.057057057057057055;0.0022234423687481093
10;1000 koni (Bedoes);0.9543011810181898;9;0.018072289156626505;0.03870967741935484;0.028657693123669364;1.7542033316662355e-05
11;100k On A Coupe (feat. Calboy) (Pop Smoke);0.8421607184033204;6;0.02108433734939759;0.1794871794871795;0.020232089331010703;4.829641823424996e-05
12;112 (PRO8L3M);0.839334375106416;4;0.015060240963855422;0.034482758620689655;0.012602618244841081;2.474151249521773e-06
13;15,2 (FREESTYLE) (Mata);0.9613642045454545;10;0.006024096385542169;0.07692307692307693;0.03175677552552553;4.5976358055913535e-06
14;1990s Utopia (Taco Hemingway);0.9193972036441881;46;0.04819277108433735;0.2318840579710145;0.15737429611927548;0.008307412561133792
15;1992 (Skeler);0.9167134865473567;4;0.015060240963855422;0.03731343283582089;0.013764466764975326;3.3376129794638443e-06
16;1996 (Włodi);0.8652883337505336;11;0.024096385542168676;0.03864734299516908;0.03897695197074475;3.648730331975106e-05
17;1998 (mam to we krwi) (Bedoes);0.9081972361517228;88;0.12048192771084337;0.36363636363636365;0.2781865408032304;0.20207947386126834
18;2#17 (PRO8L3M);0.9557345206352097;29;0.05120481927710843;0.07456140350877193;0.09471242997285863;0.0015937191193648485
19;2001 (Mata);0.9732011487470003;14;0.006024096385542169;0.07692307692307693;0.04383788958319821;7.749943784570718e-06
20;2031 (Taco Hemingway);0.9500053670965652;73;0.09337349397590361;0.17222222222222222;0.22252377968027653;0.04666589514264444
21;2040 (PRO8L3M);0.8994234139912856;25;0.045180722891566265;0.06726457399103139;0.08373010760879837;0.0008035297450862083
22;2049 (Hans Zimmer);0.8892786575632213;7;0.015060240963855422;0.029239766081871343;0.024034558312519497;5.691537307137876e-06
23;26-300 (Kuban);0.8837986423923924;13;0.009036144578313253;0.01507537688442211;0.0424647996344693;2.575722504493921e-06
24;2K30 (prod. Hatti Vatti, cuty: DJ Panda) (Pezet);0.9461264018643049;20;0.0572289156626506;0.16964285714285715;0.06534806979843547;0.0025427947965282107
25;2U (Portwave);0.9380300657856062;12;0.018072289156626505;0.23076923076923078;0.03661979235799664;0.00015229194657191626
26;3.5 karrat (schafter);0.8284200062418364;4;0.012048192771084338;0.057971014492753624;0.012438738832460008;2.5763451163633043e-06
