;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
0;Wosk;['Taco Hemingway'];Taco Hemingway;Wosk;233726;False;['polish hip hop', 'polish trap'];42;0.644;0.503;10.0;-12.027;0.0;0.52;0.18;0.0;0.463;0.526;190.093;4.0
1;900729;['Taco Hemingway'];Taco Hemingway;Trójkąt warszawski;303988;True;['polish hip hop', 'polish trap'];44;0.92;0.461;6.0;-10.513;0.0;0.174;0.331;0.0;0.06;0.696;137.01;4.0
2;Finding Balance - Ambient Mix;['Kaya Project'];Kaya Project;Body.Mind.Soul;315882;False;['psychill', 'psydub', 'world fusion'];45;0.614;0.391;8.0;-13.185;0.0;0.0295;0.518;0.765;0.0956;0.13;136.036;4.0
3;Running Out;['Hans Zimmer'];Hans Zimmer;Interstellar (Original Motion Picture Soundtrack) [Expanded Edition];117241;False;['german soundtrack', 'soundtrack'];52;0.472;0.112;5.0;-36.284;1.0;0.0387;0.978;0.921;0.117;0.357;96.003;5.0
4;Goth Bb;['Ritualz'];Ritualz;CDR;241704;False;['grave wave', 'witch house'];26;0.162;0.528;7.0;-7.313;0.0;0.0396;8.07e-05;0.817;0.214;0.0374;129.356;4.0
5;Spin;['Justin Hurwitz'];Justin Hurwitz;First Man (Original Motion Picture Soundtrack);75373;False;['hollywood', 'movie tunes'];24;0.387;0.0352;2.0;-28.355;1.0;0.0386;0.659;0.824;0.277;0.0325;114.255;3.0
6;Stan;['Eminem', 'Dido'];Eminem;The Marshall Mathers LP;404106;True;['detroit hip hop', 'hip hop', 'rap'];83;0.78;0.768;6.0;-4.325;0.0;0.238;0.0371;2.34e-06;0.518;0.507;80.063;4.0
7;Okolice Płuc;['Ted Nemeth'];Ted Nemeth;Ctrl C;164493;False;['polish alternative', 'polish alternative rock'];17;0.369;0.839;2.0;-5.267;1.0;0.0664;0.00278;0.0;0.337;0.422;155.03;4.0
8;Fairly Local;['Twenty One Pilots'];Twenty One Pilots;Blurryface;207160;False;['modern rock', 'rock'];67;0.715;0.723;6.0;-5.993;0.0;0.0569;0.0396;8.57e-05;0.084;0.479;114.985;4.0
9;Uppercut;['Guzior', 'D3W'];Guzior;EVIL_THINGS;240000;False;['polish hip hop'];46;0.555;0.646;10.0;-5.298;0.0;0.357;0.145;0.0;0.116;0.26;67.357;3.0
10;kwit (trailer);['chillwagon'];chillwagon;kwit (trailer);160747;False;['polish hip hop', 'polish trap'];49;0.782;0.903;7.0;-2.935;1.0;0.166;0.343;0.0;0.0695;0.788;150.074;4.0
11;All Of The Lights;['Kanye West'];Kanye West;My Beautiful Dark Twisted Fantasy;299613;True;['chicago rap', 'rap'];78;0.531;0.803;1.0;-3.284;1.0;0.0717;0.0796;1.71e-05;0.176;0.221;142.113;4.0
12;8 kobiet - Remix;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway', 'Bedoes'];TACONAFIDE;0,25 mg;270813;False;['polish hip hop', 'polish trap'];59;0.725;0.571;8.0;-7.642;1.0;0.128;0.478;0.0;0.112;0.267;140.047;4.0
13;Landselar - Toonorth Remix;['Edamame', 'Toonorth'];Edamame;Bask Remixed;256000;False;[];15;0.754;0.598;11.0;-13.098;0.0;0.059;0.127;0.831;0.0999;0.577;119.988;4.0
14;Janosik;['Bedoes', 'Kubi Producent', 'GOLEC UORKIESTRA'];Bedoes;Kwiat polskiej młodzieży;231546;False;['polish hip hop', 'polish trap'];52;0.723;0.515;8.0;-9.549;0.0;0.356;0.56;2.72e-06;0.363;0.327;87.95;4.0
15;Ms. Jackson;['Outkast'];Outkast;Stankonia;270506;True;['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop'];84;0.843;0.806;4.0;-5.946;0.0;0.269;0.143;0.0;0.0771;0.613;94.948;4.0
16;Forever (feat. The Hacker & Electric Youth);['Gesaffelstein', 'The Hacker', 'Electric Youth'];Gesaffelstein;Hyperion;271733;False;['dark clubbing', 'destroy techno'];48;0.652;0.426;9.0;-12.596;0.0;0.0309;0.00453;0.033;0.0592;0.139;117.985;4.0
17;Słowo na koniec;['Jan-Rapowanie', 'Nocny'];Jan-Rapowanie;Plansze;102216;False;['polish hip hop'];42;0.561;0.456;7.0;-13.729;0.0;0.508;0.889;6.06e-06;0.0548;0.407;77.65;4.0
18;Requiem, K. 626: III. Sequenz, No. 6, Lacrimosa;['Wolfgang Amadeus Mozart', 'Rudolf Kempe', 'Elisabeth Grümmer', 'Gottlob Frick', 'Helmut Krebs', 'Marga Höffgen', 'Berliner Philharmoniker', 'Chor der St. Hedwigs-Kathedrale Berlin'];Wolfgang Amadeus Mozart;Broken Heart: Classical Music;250253;False;['classical', 'classical era'];0;0.169;0.17;2.0;-17.253;0.0;0.0403;0.989;0.904;0.112;0.0342;131.58;3.0
19;Conrad;['SOHN'];SOHN;Rennen;223095;False;['electropop', 'vapor soul'];50;0.606;0.73;11.0;-4.982;0.0;0.0297;0.035;0.000116;0.239;0.6;79.981;4.0
20;Carbon Prevails;['Trent Reznor and Atticus Ross'];Trent Reznor and Atticus Ross;The Social Network;233146;False;['soundtrack'];38;0.429;0.368;10.0;-11.087;0.0;0.0747;0.0635;0.853;0.0984;0.0928;195.926;4.0
21;Real Friends;['Kanye West'];Kanye West;The Life Of Pablo;251573;True;['chicago rap', 'rap'];68;0.441;0.744;6.0;-6.248;0.0;0.476;0.262;0.000382;0.138;0.124;81.396;4.0
